id,soil_type,rainfall,soil_quality,timestamp,target
1,clay,352,0.8216368977104717,2020-01-01 00:00:00,0.6497880467642996
2,sandy,61,0.4592651971732139,2020-01-01 01:00:00,0.10343411486048337
3,fertile,367,0.3577982653254418,2020-01-01 02:00:00,0.4020272168882407
4,clay,129,0.4942124472502999,2020-01-01 03:00:00,0.7289392001051572
5,clay,265,0.8282492524372184,2020-01-01 04:00:00,0.7798208840100681
6,sandy,388,0.33520804737087273,2020-01-01 05:00:00,0.1182186222910886
7,fertile,313,0.1737615931357438,2020-01-01 06:00:00,3.071884538241587e-05
8,fertile,198,0.7120140203307808,2020-01-01 07:00:00,0.712137045880605
9,clay,130,0.8259782127080818,2020-01-01 08:00:00,0.35659617598620563
10,desert,264,0.10063747852353333,2020-01-01 09:00:00,0.25448133161826025
11,clay,423,0.23987411275594472,2020-01-01 10:00:00,0.01289746978952544
12,clay,247,0.1419719897609939,2020-01-01 11:00:00,0.5402994067614997
13,clay,249,0.3479414115821666,2020-01-01 12:00:00,0.8511507354259817
14,clay,74,0.45035097890541265,2020-01-01 13:00:00,0.9576316462725879
15,sandy,138,0.7488263369633065,2020-01-01 14:00:00,0.5657449506132892
16,fertile,317,0.6511475848816741,2020-01-01 15:00:00,0.5144613277398942
17,sandy,192,0.6209285674784312,2020-01-01 16:00:00,0.0850563854892411
18,sandy,108,0.3523749466096544,2020-01-01 17:00:00,0.5488728015425998
19,sandy,459,0.8414475530847599,2020-01-01 18:00:00,0.3799790789653946
20,clay,414,0.47128716739816456,2020-01-01 19:00:00,0.6071352808835769
21,desert,75,0.9791049380151545,2020-01-01 20:00:00,0.3887263478765467
22,fertile,96,0.6341421382957368,2020-01-01 21:00:00,0.24029912345036675
23,desert,337,0.12626474156450274,2020-01-01 22:00:00,0.0949652752283765
24,sandy,315,0.676177562075434,2020-01-01 23:00:00,0.31491844458889573
25,sandy,65,0.325104015431699,2020-01-02 00:00:00,0.09664483428775228
26,desert,248,0.6863271966860974,2020-01-02 01:00:00,0.17689695082398393
27,desert,450,0.06964114816240574,2020-01-02 02:00:00,0.9873361585795459
28,desert,456,0.1748814371759594,2020-01-02 03:00:00,0.4441035569066186
29,sandy,331,0.8557372589057863,2020-01-02 04:00:00,0.5318717665050166
30,sandy,135,0.2271795570235149,2020-01-02 05:00:00,0.8736185287372153
31,fertile,299,0.83704112524294,2020-01-02 06:00:00,0.9955689004906878
32,fertile,440,0.27927608845441043,2020-01-02 07:00:00,0.5827144493446815
33,sandy,319,0.6428819100587077,2020-01-02 08:00:00,0.8124738210441717
34,desert,384,0.694150573509831,2020-01-02 09:00:00,0.32694102433667527
35,desert,166,0.5126547531450529,2020-01-02 10:00:00,0.3057439574472911
36,fertile,56,0.3053106766967313,2020-01-02 11:00:00,0.4027037209945602
37,sandy,186,0.21264437637109612,2020-01-02 12:00:00,0.6725072626736491
38,fertile,420,0.03318935456242622,2020-01-02 13:00:00,0.6821916892550988
39,fertile,225,0.3039464012407238,2020-01-02 14:00:00,0.3152394346494508
